Date,Open,High,Low,Close,Adj Close,Volume
2021-05-03,385.470001,386.869995,376.850006,379.399994,375.661102,3344100
2021-05-04,377.070007,378.209991,371.579987,375.910004,372.205475,3321200
2021-05-05,377.929993,379.640015,368.029999,369.140015,365.502197,2993900
2021-05-06,371.140015,375.730011,365.700012,375.480011,371.779724,3787300
2021-05-07,377.260010,378.640015,373.559998,375.399994,371.700470,2935900
2021-05-10,375.790009,376.000000,365.410004,366.339996,362.729767,3193700
2021-05-11,361.010010,368.929993,359.269989,367.609985,363.987244,3073100
2021-05-12,364.750000,365.380005,355.640015,356.619995,353.105560,3293200
2021-05-13,359.329987,362.839996,357.920013,360.019989,356.472076,2626000
2021-05-14,363.029999,364.709991,361.489990,363.910004,360.323700,2959700
2021-05-17,362.299988,364.059998,358.059998,363.299988,359.719696,2511600
2021-05-18,367.000000,369.839996,362.880005,363.070007,359.492065,3421200
2021-05-19,357.329987,361.149994,355.369995,360.980011,357.422638,3577900
2021-05-20,362.940002,369.410004,362.489990,367.700012,364.076385,4087500
2021-05-21,369.140015,372.529999,367.459991,367.600006,363.977386,2708700
2021-05-24,370.079987,373.739990,369.640015,372.380005,368.710297,2351500
2021-05-25,373.130005,373.750000,366.820007,367.220001,363.601105,3916300
2021-05-26,369.000000,369.910004,362.049988,362.649994,359.076172,3101900
2021-05-27,364.549988,366.399994,360.540009,362.000000,358.432556,5416300
2021-05-28,363.500000,365.410004,360.420013,360.579987,357.026550,3624300
2021-06-01,364.480011,365.399994,359.540009,359.790009,356.244324,3119700
2021-06-02,363.529999,371.170013,362.880005,366.850006,363.234772,3531000
2021-06-03,363.359985,366.690002,361.730011,361.820007,358.254303,2605900
2021-06-04,364.309998,366.630005,363.700012,366.019989,362.412903,2295200
2021-06-07,367.799988,371.350006,363.279999,364.079987,360.492035,2133400
2021-06-08,365.000000,367.679993,363.230011,365.260010,361.660431,3224200
2021-06-09,366.940002,369.320007,363.329987,363.329987,359.749481,2520900
2021-06-10,364.690002,365.640015,361.959991,364.299988,360.709900,2460200
2021-06-11,365.540009,366.850006,363.799988,365.500000,361.898102,2708300
2021-06-14,366.000000,366.630005,362.100006,366.519989,362.908051,2515300
2021-06-15,367.339996,368.750000,362.739990,368.119995,364.492279,3562500
2021-06-16,369.380005,369.380005,361.299988,363.820007,360.234619,3081000
2021-06-17,363.500000,369.149994,361.230011,367.290009,363.670410,3824900
2021-06-18,362.119995,370.380005,362.000000,367.420013,363.799133,5009400
2021-06-21,368.619995,376.450012,366.200012,373.089996,369.413269,3094600
2021-06-22,373.989990,378.760010,372.019989,378.040009,374.314514,3582700
2021-06-23,378.000000,378.720001,374.290009,375.140015,371.443054,2241800
2021-06-24,379.000000,380.059998,372.899994,374.750000,371.056915,2788200
2021-06-25,375.450012,379.649994,373.329987,379.609985,375.869019,3983900
2021-06-28,380.920013,380.920013,365.119995,367.679993,364.056549,4800300
2021-06-29,369.010010,371.390015,367.910004,368.000000,364.373444,3394300
2021-06-30,367.950012,370.170013,364.269989,365.089996,361.492096,2884900
2021-07-01,366.049988,371.209991,365.600006,370.709991,367.056671,3108500
2021-07-02,372.690002,375.489990,372.149994,375.029999,371.334198,2786500
2021-07-06,376.649994,378.239990,371.500000,376.119995,372.413422,2740500
2021-07-07,376.790009,378.149994,372.450012,373.920013,370.235046,3176600
2021-07-08,367.500000,370.589996,365.649994,370.190002,366.973724,2809000
2021-07-09,371.850006,373.480011,369.890015,372.940002,369.699799,2404800
2021-07-12,375.000000,376.070007,372.079987,375.559998,372.296997,2648300
2021-07-13,375.549988,386.640015,375.549988,383.709991,380.376221,5161000
2021-07-14,382.980011,391.630005,382.980011,390.799988,387.404602,4140500
2021-07-15,390.140015,393.299988,387.450012,390.230011,386.839600,3773000
2021-07-16,393.149994,393.459991,385.329987,387.119995,383.756622,2706500
2021-07-19,378.000000,378.600006,363.369995,365.450012,362.274872,6814400
